time	valores	x	y	optional
1	89	-8.90694444	-36.49472221	TRUE
2	91	-8.90694444	-36.49472221	TRUE
3	92	-8.90694444	-36.49472221	TRUE
4	91	-8.90694444	-36.49472221	TRUE
5	91	-8.90694444	-36.49472221	TRUE
6	91	-8.90694444	-36.49472221	TRUE
7	91	-8.90694444	-36.49472221	TRUE
8	92	-8.90694444	-36.49472221	TRUE
9	93	-8.90694444	-36.49472221	TRUE
10	92	-8.90694444	-36.49472221	TRUE
11	86	-8.90694444	-36.49472221	TRUE
12	74	-8.90694444	-36.49472221	TRUE
13	72	-8.90694444	-36.49472221	TRUE
14	59	-8.90694444	-36.49472221	TRUE
15	52	-8.90694444	-36.49472221	TRUE
16	44	-8.90694444	-36.49472221	TRUE
17	47	-8.90694444	-36.49472221	TRUE
18	46	-8.90694444	-36.49472221	TRUE
19	55	-8.90694444	-36.49472221	TRUE
20	52	-8.90694444	-36.49472221	TRUE
21	67	-8.90694444	-36.49472221	TRUE
22	73	-8.90694444	-36.49472221	TRUE
23	80	-8.90694444	-36.49472221	TRUE
24	84	-8.90694444	-36.49472221	TRUE
1	27	-7.07805554	-40.36305555	TRUE
2	29	-7.07805554	-40.36305555	TRUE
3	30	-7.07805554	-40.36305555	TRUE
4	35	-7.07805554	-40.36305555	TRUE
5	39	-7.07805554	-40.36305555	TRUE
6	41	-7.07805554	-40.36305555	TRUE
7	43	-7.07805554	-40.36305555	TRUE
8	53	-7.07805554	-40.36305555	TRUE
9	59	-7.07805554	-40.36305555	TRUE
10	61	-7.07805554	-40.36305555	TRUE
11	62	-7.07805554	-40.36305555	TRUE
12	59	-7.07805554	-40.36305555	TRUE
13	52	-7.07805554	-40.36305555	TRUE
14	47	-7.07805554	-40.36305555	TRUE
15	40	-7.07805554	-40.36305555	TRUE
16	34	-7.07805554	-40.36305555	TRUE
17	26	-7.07805554	-40.36305555	TRUE
18	22	-7.07805554	-40.36305555	TRUE
19	20	-7.07805554	-40.36305555	TRUE
20	18	-7.07805554	-40.36305555	TRUE
21	19	-7.07805554	-40.36305555	TRUE
22	20	-7.07805554	-40.36305555	TRUE
23	20	-7.07805554	-40.36305555	TRUE
24	21	-7.07805554	-40.36305555	TRUE
1	66	-13.15583333	-41.77416666	TRUE
2	71	-13.15583333	-41.77416666	TRUE
3	72	-13.15583333	-41.77416666	TRUE
4	76	-13.15583333	-41.77416666	TRUE
5	79	-13.15583333	-41.77416666	TRUE
6	78	-13.15583333	-41.77416666	TRUE
7	80	-13.15583333	-41.77416666	TRUE
8	79	-13.15583333	-41.77416666	TRUE
9	78	-13.15583333	-41.77416666	TRUE
10	76	-13.15583333	-41.77416666	TRUE
11	69	-13.15583333	-41.77416666	TRUE
12	60	-13.15583333	-41.77416666	TRUE
13	56	-13.15583333	-41.77416666	TRUE
14	53	-13.15583333	-41.77416666	TRUE
15	48	-13.15583333	-41.77416666	TRUE
16	42	-13.15583333	-41.77416666	TRUE
17	38	-13.15583333	-41.77416666	TRUE
18	38	-13.15583333	-41.77416666	TRUE
19	35	-13.15583333	-41.77416666	TRUE
20	36	-13.15583333	-41.77416666	TRUE
21	39	-13.15583333	-41.77416666	TRUE
22	41	-13.15583333	-41.77416666	TRUE
23	44	-13.15583333	-41.77416666	TRUE
24	49	-13.15583333	-41.77416666	TRUE
1	31	-7.31805554	-39.30166666	TRUE
2	31	-7.31805554	-39.30166666	TRUE
3	33	-7.31805554	-39.30166666	TRUE
4	38	-7.31805554	-39.30166666	TRUE
5	49	-7.31805554	-39.30166666	TRUE
6	57	-7.31805554	-39.30166666	TRUE
7	63	-7.31805554	-39.30166666	TRUE
8	65	-7.31805554	-39.30166666	TRUE
9	65	-7.31805554	-39.30166666	TRUE
10	61	-7.31805554	-39.30166666	TRUE
11	53	-7.31805554	-39.30166666	TRUE
12	47	-7.31805554	-39.30166666	TRUE
13	41	-7.31805554	-39.30166666	TRUE
14	35	-7.31805554	-39.30166666	TRUE
15	29	-7.31805554	-39.30166666	TRUE
16	24	-7.31805554	-39.30166666	TRUE
17	23	-7.31805554	-39.30166666	TRUE
18	19	-7.31805554	-39.30166666	TRUE
19	18	-7.31805554	-39.30166666	TRUE
20	21	-7.31805554	-39.30166666	TRUE
21	23	-7.31805554	-39.30166666	TRUE
22	25	-7.31805554	-39.30166666	TRUE
23	28	-7.31805554	-39.30166666	TRUE
24	29	-7.31805554	-39.30166666	TRUE
1	56	-5.15111111	-36.57305554	TRUE
2	62	-5.15111111	-36.57305554	TRUE
3	65	-5.15111111	-36.57305554	TRUE
4	68	-5.15111111	-36.57305554	TRUE
5	71	-5.15111111	-36.57305554	TRUE
6	71	-5.15111111	-36.57305554	TRUE
7	72	-5.15111111	-36.57305554	TRUE
8	72	-5.15111111	-36.57305554	TRUE
9	73	-5.15111111	-36.57305554	TRUE
10	69	-5.15111111	-36.57305554	TRUE
11	61	-5.15111111	-36.57305554	TRUE
12	54	-5.15111111	-36.57305554	TRUE
